,Dataset1,Dataset2,KS_Drift,Wasserstein_Distance,KL_Divergence
0,JAFFE,JAFFE,0.0,0.0,0.0
1,JAFFE,CK+,52.68328275003829,0.25272455431481267,4.569043752460637
2,JAFFE,Combined_Cross_Balanced,32.033231528018064,0.14115970556311497,0.5089867200634633
3,CK+,JAFFE,52.68328275003829,0.25272455431481267,4.569043752460637
4,CK+,CK+,0.0,0.0,0.0
5,CK+,Combined_Cross_Balanced,23.866450847349647,0.12354608004885931,0.23986705020846255
6,Combined_Cross_Balanced,JAFFE,32.033231528018064,0.14115970556311497,0.5089867200634633
7,Combined_Cross_Balanced,CK+,23.866450847349647,0.12354608004885931,0.23986705020846255
8,Combined_Cross_Balanced,Combined_Cross_Balanced,0.0,0.0,0.0
